,Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay,High_Meaning
250,250,Industrial Technology (IT),Bachelors,"$71,700","$107,400",50%
251,251,Real Estate Development,Bachelors,"$66,600","$107,200",-
253,253,Electromechanical Engineering,Bachelors,"$79,100","$107,100",56%
255,255,Social Ecology,Bachelors,"$55,400","$107,000",-
257,257,Microbiology & Immunology,Bachelors,"$63,500","$106,800",74%
258,258,French Literature,Bachelors,"$53,900","$106,600",50%
259,259,Marketing Communication,Bachelors,"$52,200","$106,500",42%
263,263,Industrial Design (ID),Bachelors,"$62,900","$106,400",40%
265,265,Marketing & Communications,Bachelors,"$56,400","$106,300",46%
266,266,Political Science,Bachelors,"$57,700","$106,200",47%
267,267,Manufacturing Management,Bachelors,"$72,300","$106,100",48%
269,269,Risk Management & Insurance,Bachelors,"$67,400","$106,000",46%
272,272,Sales & Marketing,Bachelors,"$61,100","$105,800",49%
274,274,Welding Engineering Technology,Bachelors,"$82,700","$105,600",42%
275,275,Business Data Analysis,Bachelors,"$72,600","$105,500",39%
278,278,Japanese Studies,Bachelors,"$58,000","$105,400",21%
281,281,International Development Studies,Bachelors,"$53,700","$105,200",62%
285,285,Accounting,Bachelors,"$62,100","$105,100",41%
286,286,Technical Communication,Bachelors,"$55,600","$105,000",42%
288,288,Computer Programming,Bachelors,"$67,000","$104,800",47%
289,289,Project Management,Bachelors,"$64,400","$104,500",56%
291,291,Urban Planning,Bachelors,"$56,100","$104,200",53%
294,294,Safety Management,Bachelors,"$67,500","$104,000",67%
296,296,Manufacturing Engineering Technology,Bachelors,"$74,900","$103,500",50%
297,297,Advertising,Bachelors,"$53,500","$103,400",33%
298,298,Insurance,Bachelors,"$63,400","$103,300",51%
300,300,Occupational Therapy (OT),Bachelors,"$60,700","$103,200",87%
301,301,Applied Computer Science,Bachelors,"$74,000","$103,000",42%
302,302,Meteorology,Bachelors,"$53,100","$102,800",55%
304,304,Radiation Therapy,Bachelors,"$76,100","$102,600",91%
307,307,Transportation & Logistics Management,Bachelors,"$65,800","$102,500",49%
310,310,Applied Technology,Bachelors,"$65,500","$102,300",49%
311,311,Environmental Health,Bachelors,"$56,900","$102,200",69%
312,312,Design,Bachelors,"$60,500","$102,000",39%
313,313,Crop Science,Bachelors,"$54,700","$101,800",56%
315,315,Industrial Psychology,Bachelors,"$56,400","$101,500",50%
316,316,Neuroscience,Bachelors,"$58,900","$101,300",60%
319,319,Microbiology,Bachelors,"$54,800","$101,200",69%
323,323,Agronomy,Bachelors,"$55,200","$101,000",65%
325,325,Business Communication,Bachelors,"$57,900","$100,600",47%
328,328,Urban & Regional Planning,Bachelors,"$59,600","$100,500",60%
329,329,Police Science,Bachelors,"$61,500","$100,100",-
331,331,Math & Science,Bachelors,"$63,900","$100,000",64%
332,332,Corporate Communications,Bachelors,"$54,700","$99,900",45%
333,333,Political Science/Public Law,Bachelors,"$59,200","$99,800",69%
334,334,Organizational Psychology,Bachelors,"$56,400","$99,700",51%
337,337,Entomology,Bachelors,"$49,900","$99,200",-
339,339,Product Design Engineering,Bachelors,"$73,500","$99,100",41%
340,340,Personal Financial Planning,Bachelors,"$60,400","$99,000",60%
341,341,Pre-law,Bachelors,"$52,900","$98,900",50%
343,343,Textile Technology,Bachelors,"$60,400","$98,800",37%
344,344,Technology,Bachelors,"$63,200","$98,700",-
346,346,Environmental Science,Bachelors,"$55,800","$98,600",61%
