,Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay,High_Meaning
711,711,Wildlife Management,Bachelors,"$44,500","$71,600",46%
712,712,Mortuary Science,Bachelors,"$48,800","$71,500",78%
715,715,Media Production,Bachelors,"$49,000","$71,200",35%
716,716,Health Services Management,Bachelors,"$47,400","$71,000",87%
718,718,Social Science Teacher Education,Bachelors,"$51,000","$70,800",-
720,720,Rehabilitation Counseling,Bachelors,"$44,100","$70,600",-
722,722,Radio Broadcasting,Bachelors,"$51,000","$70,500",39%
724,724,Community Health,Bachelors,"$52,500","$70,300",73%
725,725,Drawing,Bachelors,"$43,400","$70,100",37%
726,726,Dance,Bachelors,"$50,600","$69,900",59%
727,727,Music Teacher Education,Bachelors,"$47,700","$69,800",58%
728,728,Photojournalism,Bachelors,"$46,800","$69,700",55%
730,730,Family & Community Services,Bachelors,"$48,400","$69,600",77%
731,731,Drawing & Painting,Bachelors,"$48,900","$69,500",45%
733,733,Vocal Performance,Bachelors,"$48,400","$69,400",62%
735,735,Tourism Management,Bachelors,"$48,900","$69,200",38%
738,738,Wildlife Biology,Bachelors,"$48,200","$68,900",58%
739,739,Teaching English as a Second Language (ESL),Bachelors,"$48,800","$68,800",67%
740,740,Parks & Recreation Management,Bachelors,"$49,000","$68,700",59%
741,741,Social Services,Bachelors,"$44,800","$68,500",78%
742,742,Elementary Special Education,Bachelors,"$51,200","$68,300",81%
743,743,Landscape Design,Bachelors,"$57,100","$68,000",62%
746,746,Speech & Hearing,Bachelors,"$51,400","$67,600",72%
748,748,Sculpture,Bachelors,"$44,700","$67,200",48%
749,749,Health Promotion,Bachelors,"$47,700","$67,000",71%
750,750,Athletic Training,Bachelors,"$47,700","$66,900",75%
751,751,Family Studies,Bachelors,"$45,000","$66,800",60%
752,752,Social Studies Teacher Education,Bachelors,"$49,200","$66,700",59%
754,754,Biblical Studies & Practical Ministries,Bachelors,"$45,400","$66,600",-
755,755,Communication Sciences & Disorders,Bachelors,"$49,900","$66,500",75%
756,756,Emergency Medical Services (EMS),Bachelors,"$47,300","$66,300",-
757,757,Deaf Studies,Bachelors,"$43,700","$66,100",-
758,758,Community Health Education,Bachelors,"$48,600","$65,800",70%
759,759,Musical Theatre,Bachelors,"$50,000","$65,500",46%
760,760,Pastoral Ministry,Bachelors,"$43,500","$65,200",76%
761,761,Bible Studies & Theology,Bachelors,"$44,800","$65,100",68%
762,762,Biblical Studies,Bachelors,"$47,000","$65,000",71%
763,763,Christian Ministry,Bachelors,"$43,000","$64,500",75%
764,764,Human Development & Family Studies,Bachelors,"$45,400","$64,400",63%
765,765,Church Ministries,Bachelors,"$43,600","$64,300",79%
766,766,Community Development,Bachelors,"$50,300","$63,600",69%
767,767,Music Therapy,Bachelors,"$48,500","$63,500",95%
768,768,Voice & Opera,Bachelors,"$38,700","$63,200",53%
769,769,Legal Assistant Studies,Bachelors,"$42,000","$63,000",39%
770,770,Health and Human Services,Bachelors,"$48,800","$62,900",64%
771,771,Home Economics,Bachelors,"$47,700","$62,800",69%
772,772,Special Education,Bachelors,"$46,400","$62,700",75%
773,773,Conflict Resolution,Bachelors,"$52,000","$62,100",50%
774,774,Developmental Psychology,Bachelors,"$42,900","$61,800",-
